trade_date,market,stock_id,name,foreign_buy,foreign_sell,foreign_net,trust_buy,trust_sell,trust_net,dealer_buy,dealer_sell,dealer_net,raw_json
2026-08-26,TWSE,0050,元大台灣50      ,32398713,8812909,23585804,2600000,50000,2550000,23876274,1103298,24779976,"{""證券代號"":""0050"",""證券名稱"":""元大台灣50      "",""外陸資買進股數(不含外資自營商)"":""32,398,713"",""外陸資賣出股數(不含外資自營商)"":""8,812,909"",""外陸資買賣超股數(不含外資自營商)"":""23,585,804"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""2,600,000"",""投信賣出股數"":""50,000"",""投信買賣超股數"":""2,550,000"",""自營商買賣超股數"":""24,779,976"",""自營商買進股數(自行買賣)"":""2,335,000"",""自營商賣出股數(自行買賣)"":""328,000"",""自營商買賣超股數(自行買賣)"":""2,007,000"",""自營商買進股數(避險)"":""23,876,274"",""自營商賣出股數(避險)"":""1,103,298"",""自營商買賣超股數(避險)"":""22,772,976"",""三大法人買賣超股數"":""50,915,780""}"
2026-08-26,TWSE,6770,力積電          ,48518143,18074773,30443370,2000,50509,-48509,2085509,549977,2425532,"{""證券代號"":""6770"",""證券名稱"":""力積電          "",""外陸資買進股數(不含外資自營商)"":""48,518,143"",""外陸資賣出股數(不含外資自營商)"":""18,074,773"",""外陸資買賣超股數(不含外資自營商)"":""30,443,370"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""2,000"",""投信賣出股數"":""50,509"",""投信買賣超股數"":""-48,509"",""自營商買賣超股數"":""2,425,532"",""自營商買進股數(自行買賣)"":""1,688,000"",""自營商賣出股數(自行買賣)"":""798,000"",""自營商買賣超股數(自行買賣)"":""890,000"",""自營商買進股數(避險)"":""2,085,509"",""自營商賣出股數(避險)"":""549,977"",""自營商買賣超股數(避險)"":""1,535,532"",""三大法人買賣超股數"":""32,820,393""}"
2026-08-26,TWSE,2883,凱基金          ,51775029,19794446,31980583,2000,92,1908,296375,622544,-123169,"{""證券代號"":""2883"",""證券名稱"":""凱基金          "",""外陸資買進股數(不含外資自營商)"":""51,775,029"",""外陸資賣出股數(不含外資自營商)"":""19,794,446"",""外陸資買賣超股數(不含外資自營商)"":""31,980,583"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""2,000"",""投信賣出股數"":""92"",""投信買賣超股數"":""1,908"",""自營商買賣超股數"":""-123,169"",""自營商買進股數(自行買賣)"":""225,000"",""自營商賣出股數(自行買賣)"":""22,000"",""自營商買賣超股數(自行買賣)"":""203,000"",""自營商買進股數(避險)"":""296,375"",""自營商賣出股數(避險)"":""622,544"",""自營商買賣超股數(避險)"":""-326,169"",""三大法人買賣超股數"":""31,859,322""}"
2026-08-26,TWSE,0056,元大高股息      ,10913725,1765013,9148712,190000,0,190000,10889896,22000,11207896,"{""證券代號"":""0056"",""證券名稱"":""元大高股息      "",""外陸資買進股數(不含外資自營商)"":""10,913,725"",""外陸資賣出股數(不含外資自營商)"":""1,765,013"",""外陸資買賣超股數(不含外資自營商)"":""9,148,712"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""190,000"",""投信賣出股數"":""0"",""投信買賣超股數"":""190,000"",""自營商買賣超股數"":""11,207,896"",""自營商買進股數(自行買賣)"":""340,000"",""自營商賣出股數(自行買賣)"":""0"",""自營商買賣超股數(自行買賣)"":""340,000"",""自營商買進股數(避險)"":""10,889,896"",""自營商賣出股數(避險)"":""22,000"",""自營商買賣超股數(避險)"":""10,867,896"",""三大法人買賣超股數"":""20,546,608""}"
2026-08-26,TWSE,2610,華航            ,27447293,8270064,19177229,239000,0,239000,557471,147000,514471,"{""證券代號"":""2610"",""證券名稱"":""華航            "",""外陸資買進股數(不含外資自營商)"":""27,447,293"",""外陸資賣出股數(不含外資自營商)"":""8,270,064"",""外陸資買賣超股數(不含外資自營商)"":""19,177,229"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""239,000"",""投信賣出股數"":""0"",""投信買賣超股數"":""239,000"",""自營商買賣超股數"":""514,471"",""自營商買進股數(自行買賣)"":""104,000"",""自營商賣出股數(自行買賣)"":""0"",""自營商買賣超股數(自行買賣)"":""104,000"",""自營商買進股數(避險)"":""557,471"",""自營商賣出股數(避險)"":""147,000"",""自營商買賣超股數(避險)"":""410,471"",""三大法人買賣超股數"":""19,930,700""}"
2026-08-26,TWSE,1301,台塑            ,21350848,5009595,16341253,0,0,0,694053,202000,1052737,"{""證券代號"":""1301"",""證券名稱"":""台塑            "",""外陸資買進股數(不含外資自營商)"":""21,350,848"",""外陸資賣出股數(不含外資自營商)"":""5,009,595"",""外陸資買賣超股數(不含外資自營商)"":""16,341,253"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""0"",""投信賣出股數"":""0"",""投信買賣超股數"":""0"",""自營商買賣超股數"":""1,052,737"",""自營商買進股數(自行買賣)"":""585,684"",""自營商賣出股數(自行買賣)"":""25,000"",""自營商買賣超股數(自行買賣)"":""560,684"",""自營商買進股數(避險)"":""694,053"",""自營商賣出股數(避險)"":""202,000"",""自營商買賣超股數(避險)"":""492,053"",""三大法人買賣超股數"":""17,393,990""}"
2026-08-26,TWSE,1802,台玻            ,30352798,14902991,15449807,81000,1000,80000,490389,77939,980450,"{""證券代號"":""1802"",""證券名稱"":""台玻            "",""外陸資買進股數(不含外資自營商)"":""30,352,798"",""外陸資賣出股數(不含外資自營商)"":""14,902,991"",""外陸資買賣超股數(不含外資自營商)"":""15,449,807"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""81,000"",""投信賣出股數"":""1,000"",""投信買賣超股數"":""80,000"",""自營商買賣超股數"":""980,450"",""自營商買進股數(自行買賣)"":""737,000"",""自營商賣出股數(自行買賣)"":""169,000"",""自營商買賣超股數(自行買賣)"":""568,000"",""自營商買進股數(避險)"":""490,389"",""自營商賣出股數(避險)"":""77,939"",""自營商買賣超股數(避險)"":""412,450"",""三大法人買賣超股數"":""16,510,257""}"
2026-08-26,TWSE,1326,台化            ,20286241,5704800,14581441,0,0,0,747811,220762,850049,"{""證券代號"":""1326"",""證券名稱"":""台化            "",""外陸資買進股數(不含外資自營商)"":""20,286,241"",""外陸資賣出股數(不含外資自營商)"":""5,704,800"",""外陸資買賣超股數(不含外資自營商)"":""14,581,441"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""0"",""投信賣出股數"":""0"",""投信買賣超股數"":""0"",""自營商買賣超股數"":""850,049"",""自營商買進股數(自行買賣)"":""323,000"",""自營商賣出股數(自行買賣)"":""0"",""自營商買賣超股數(自行買賣)"":""323,000"",""自營商買進股數(避險)"":""747,811"",""自營商賣出股數(避險)"":""220,762"",""自營商買賣超股數(避險)"":""527,049"",""三大法人買賣超股數"":""15,431,490""}"
2026-08-26,TWSE,2344,華邦電          ,41380849,27144298,14236551,3000,60449,-57449,702770,397226,745066,"{""證券代號"":""2344"",""證券名稱"":""華邦電          "",""外陸資買進股數(不含外資自營商)"":""41,380,849"",""外陸資賣出股數(不含外資自營商)"":""27,144,298"",""外陸資買賣超股數(不含外資自營商)"":""14,236,551"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""3,000"",""投信賣出股數"":""60,449"",""投信買賣超股數"":""-57,449"",""自營商買賣超股數"":""745,066"",""自營商買進股數(自行買賣)"":""675,522"",""自營商賣出股數(自行買賣)"":""236,000"",""自營商買賣超股數(自行買賣)"":""439,522"",""自營商買進股數(避險)"":""702,770"",""自營商賣出股數(避險)"":""397,226"",""自營商買賣超股數(避險)"":""305,544"",""三大法人買賣超股數"":""14,924,168""}"
2026-08-26,TWSE,1303,南亞            ,34244375,24043362,10201013,1537000,84000,1453000,944226,702803,1011421,"{""證券代號"":""1303"",""證券名稱"":""南亞            "",""外陸資買進股數(不含外資自營商)"":""34,244,375"",""外陸資賣出股數(不含外資自營商)"":""24,043,362"",""外陸資買賣超股數(不含外資自營商)"":""10,201,013"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""1,537,000"",""投信賣出股數"":""84,000"",""投信買賣超股數"":""1,453,000"",""自營商買賣超股數"":""1,011,421"",""自營商買進股數(自行買賣)"":""1,179,998"",""自營商賣出股數(自行買賣)"":""410,000"",""自營商買賣超股數(自行買賣)"":""769,998"",""自營商買進股數(避險)"":""944,226"",""自營商賣出股數(避險)"":""702,803"",""自營商買賣超股數(避險)"":""241,423"",""三大法人買賣超股數"":""12,665,434""}"
