code,layer,exit_reason,buy_date,sell_date,pnl,return_pct,win
6152,short,box_failure_two_closes_inside,2021-04-22,2021-04-26,-9161.568587500049,-0.04589933703446971,False
2065,short,ma3_break,2021-04-27,2021-04-29,-10102.732289999956,-0.05149180275250603,False
1460,short,box_failure_volume_below_minus_4pct,2021-05-06,2021-05-07,-14707.916829374997,-0.0752460843923312,False
3591,short,box_failure_volume_below_minus_4pct,2021-07-16,2021-07-21,-12202.905610000016,-0.06368361448572156,False
2379,short,ma3_break,2021-07-30,2021-08-03,1311.3722999999882,0.007435898002274905,True
6552,short,flow_cools,2021-08-04,2021-08-05,-3664.1043599999393,-0.019666886191601427,False
3306,short,box_failure_two_closes_inside,2021-09-27,2021-09-29,-22918.698337499955,-0.12193582204568994,False
1476,short,ma3_break,2021-11-12,2021-11-16,-3291.18789999999,-0.02548310147401647,False
2408,short,flow_cools,2021-12-06,2021-12-07,-3058.6723649999767,-0.017196275763889123,False
2461,short,box_failure_two_closes_inside,2022-01-03,2022-01-05,-11907.439530000003,-0.06455181287924552,False
8038,short,box_failure_volume_below_minus_4pct,2022-01-07,2022-01-10,-14001.572130000015,-0.07685298449709171,False
8155,short,box_failure_volume_below_minus_4pct,2022-01-20,2022-01-24,-11514.928950000001,-0.06879629246002547,False
2006,short,flow_cools,2022-03-16,2022-03-18,-1511.6029599999893,-0.012078553431498048,False
6806,short,ma3_break,2022-04-26,2022-04-29,-4506.754175000009,-0.0350816263295393,False
3712,short,box_failure_two_closes_inside,2022-05-03,2022-05-05,-3163.663685000007,-0.02451806031895883,False
3444,short,box_failure_volume_below_minus_4pct,2022-06-30,2022-07-01,-16362.785599999988,-0.12708049565953872,False
3234,short,box_failure_two_closes_inside,2022-08-10,2022-08-12,-7477.0815,-0.0586288432788586,False
3413,short,ma3_break,2022-09-15,2022-09-19,-1835.8535999999876,-0.028801452157004023,False
2337,short,flow_cools,2023-02-06,2023-02-07,-5694.8042549999955,-0.033864930393652105,False
