execute_date,decision_date,side,code,layer,cash_pool,shares,raw_price,fill_price,commission,tax,reason,expected_rr
2021-01-05,2021-01-04,BUY,5284,swing,shared_1m_account,3000,35.0,34.79,148.72725,0.0,signal,5.569370330843087
2021-01-06,2021-01-05,BUY,2049,large,shared_1m_account,200,410.0,406.805,115.939425,0.0,signal,1.6666666666666663
2021-01-06,2021-01-05,BUY,2493,swing,shared_1m_account,3100,34.95,34.251000000000005,151.30379250000004,0.0,signal,2.772611980572033
2021-01-06,2021-01-05,BUY,5388,swing,shared_1m_account,1300,81.7,79.086,146.50681500000002,0.0,signal,2.6985668789808903
2021-01-06,2021-01-05,BUY,1707,swing,shared_1m_account,500,182.5,178.85,127.430625,0.0,signal,3.1140452698781145
2021-01-07,2021-01-06,SELL,5284,swing,shared_1m_account,3000,35.15,34.446999999999996,147.260925,310.02299999999997,two_closes_below_ma5,
2021-01-07,2021-01-06,BUY,3533,large,shared_1m_account,300,531.0,523.035,223.5974625,0.0,signal,1.6666666666666654
2021-01-08,2021-01-07,SELL,1707,swing,shared_1m_account,500,180.5,176.89,126.034125,265.335,two_closes_below_ma5,
2021-01-08,2021-01-07,BUY,3308,swing,shared_1m_account,21900,7.19,7.056,220.20012,0.0,signal,4.467707893625995
2021-01-12,2021-01-11,SELL,5388,swing,shared_1m_account,1300,78.6,77.02799999999999,142.69437,300.4092,two_closes_below_ma5,
2021-01-12,2021-01-11,BUY,1560,large,shared_1m_account,1700,70.0,68.6545,166.31552625,0.0,signal,1.6666666666666663
2021-01-13,2021-01-12,SELL,3308,swing,shared_1m_account,21900,6.87,6.7326,210.1076145,442.33182,two_closes_below_ma5,
2021-01-14,2021-01-13,SELL,2493,swing,shared_1m_account,3100,35.15,34.446999999999996,152.16962249999997,320.35709999999995,two_closes_below_ma5,
2021-01-18,2021-01-15,BUY,2436,large,shared_1m_account,1800,55.4,53.2885,136.6850025,0.0,signal,1.6666666666666659
2021-01-20,2021-01-19,BUY,8033,large,shared_1m_account,5700,17.0,16.6465,135.21119625,0.0,signal,1.6666666666666665
2021-01-20,2021-01-19,BUY,3312,swing,shared_1m_account,6700,14.7,14.259,136.13780250000002,0.0,signal,4.899999999999989
2021-01-20,2021-01-19,BUY,5434,swing,shared_1m_account,800,122.0,119.56,136.29840000000002,0.0,signal,3.5164705882352876
2021-01-21,2021-01-20,BUY,6504,swing,shared_1m_account,500,185.0,182.28,129.8745,0.0,signal,1.7169230769230748
2021-01-22,2021-01-21,SELL,2436,large,shared_1m_account,1800,44.45,43.561,111.73396500000001,235.22940000000003,large_hard_stop_minus_15pct,
2021-01-25,2021-01-22,BUY,3712,swing,shared_1m_account,3100,27.0,26.851999999999997,118.61871000000001,0.0,signal,22.755932203390312
2021-01-29,2021-01-28,SELL,3312,swing,shared_1m_account,6700,14.65,14.357,137.0734575,288.5757,two_closes_below_ma5,
2021-01-29,2021-01-28,SELL,5434,swing,shared_1m_account,800,122.0,119.56,136.29840000000002,286.944,two_closes_below_ma5,
2021-01-29,2021-01-28,SELL,6504,swing,shared_1m_account,500,177.0,173.46,123.59025,260.19,two_closes_below_ma5,
2021-01-29,2021-01-28,SELL,3712,swing,shared_1m_account,3100,26.4,25.872,114.28956,240.6096,prior_swing_low_minus_3pct,
2021-02-04,2021-02-03,SELL,8033,large,shared_1m_account,5700,16.95,16.611,134.9228475,284.0481,trail_13pct_after_gain_15pct,
2021-02-04,2021-02-03,BUY,6191,swing,shared_1m_account,4900,24.6,24.353,170.0448225,0.0,signal,2.4199735011593178
2021-02-17,2021-02-05,BUY,1467,swing,shared_1m_account,4600,18.7,18.473000000000003,121.09051500000002,0.0,signal,2.048761552680217
2021-02-18,2021-02-17,BUY,2492,large,shared_1m_account,300,260.0,255.6075,109.27220625000001,0.0,signal,1.666666666666666
2021-02-19,2021-02-18,SELL,1467,swing,shared_1m_account,4600,17.95,17.590999999999998,115.30900499999998,242.75579999999997,two_closes_below_ma5,
2021-02-23,2021-02-22,BUY,3703,large,shared_1m_account,4000,21.1,21.02975,119.869575,0.0,signal,1.6666666666666667
2021-03-03,2021-03-02,BUY,3058,large,shared_1m_account,11700,14.95,14.52875,242.230584375,0.0,signal,1.666666666666666
2021-03-09,2021-03-08,SELL,6191,swing,shared_1m_account,4900,28.0,27.439999999999998,191.59980000000002,403.368,two_closes_below_ma5,
2021-03-12,2021-03-11,BUY,1515,large,shared_1m_account,700,93.3,91.99900000000001,91.76900250000001,0.0,signal,1.6666666666666663
2021-03-17,2021-03-16,BUY,2489,large,shared_1m_account,5100,13.9,13.888499999999999,100.93467374999999,0.0,signal,1.6666666666666663
2021-03-25,2021-03-24,SELL,2489,large,shared_1m_account,5100,16.8,16.464,119.65212,251.89919999999998,trail_13pct_after_gain_15pct,
2021-04-13,2021-04-12,BUY,1903,large,shared_1m_account,1100,64.1,61.1685,95.88162375000002,0.0,signal,1.6666666666666674
2021-04-14,2021-04-13,SELL,1515,large,shared_1m_account,700,92.1,90.258,90.032355,189.5418,trail_13pct_after_gain_15pct,
2021-04-23,2021-04-22,BUY,2530,swing,shared_1m_account,4300,15.35,15.043,92.17598249999999,0.0,signal,1.5952279957582183
2021-04-28,2021-04-27,SELL,2530,swing,shared_1m_account,4300,14.45,14.161,86.77152749999999,182.6769,two_closes_below_ma5,
2021-05-03,2021-04-29,SELL,3058,large,shared_1m_account,11700,19.95,19.551,325.9640475,686.2401,trail_13pct_after_gain_15pct,
2021-05-04,2021-05-03,BUY,3705,swing,shared_1m_account,3200,45.3,44.394,202.43663999999998,0.0,signal,3.677029265599114
2021-05-04,2021-05-03,BUY,9919,swing,shared_1m_account,4200,34.8,34.202,204.69897,0.0,signal,2.5068653799169285
2021-05-06,2021-05-05,SELL,2492,large,shared_1m_account,300,216.5,212.17,90.702675,190.95299999999997,large_hard_stop_minus_15pct,
2021-05-06,2021-05-05,SELL,3705,swing,shared_1m_account,3200,44.3,43.413999999999994,197.96784,416.77439999999996,two_closes_below_ma5,
2021-05-06,2021-05-05,SELL,9919,swing,shared_1m_account,4200,32.3,31.653999999999996,189.44919,398.8404,two_closes_below_ma5,
2021-05-11,2021-05-10,BUY,5880,swing,shared_1m_account,5300,21.75,21.315,160.9815375,0.0,signal,2.931911966987621
2021-05-11,2021-05-10,BUY,2886,swing,shared_1m_account,3500,32.95,32.339999999999996,161.29575,0.0,signal,2.793550244745183
2021-05-12,2021-05-11,SELL,2049,large,shared_1m_account,200,335.0,328.3,93.5655,196.98000000000002,large_hard_stop_minus_15pct,
2021-05-12,2021-05-11,SELL,5880,swing,shared_1m_account,5300,21.2,20.776,156.91074,330.33840000000004,portfolio_dd9_keep_best_swing,
2021-05-13,2021-05-12,SELL,2886,swing,shared_1m_account,3500,31.1,30.478,152.009025,320.019,two_closes_below_ma5,
2021-05-14,2021-05-13,SELL,1903,large,shared_1m_account,1100,51.3,50.273999999999994,78.80449499999999,165.90419999999997,large_hard_stop_minus_15pct,
2021-05-14,2021-05-13,SELL,3533,large,shared_1m_account,300,485.0,475.3,203.19075,427.77,portfolio_dd14_large_structure_broken,
2021-05-14,2021-05-13,SELL,1560,large,shared_1m_account,1700,62.2,60.956,147.66591000000003,310.8756,portfolio_dd14_large_structure_broken,
2021-05-17,2021-05-14,SELL,3703,large,shared_1m_account,4000,23.05,22.589,128.75730000000001,271.068,trail_13pct_after_gain_15pct,
