execute_date,decision_date,side,code,layer,cash_pool,shares,raw_price,fill_price,commission,tax,reason,expected_rr
2021-01-05,2021-01-04,BUY,5284,swing,shared_1m_account,3000,35.0,34.79,148.72725,0.0,signal,5.569370330843087
2021-01-06,2021-01-05,BUY,2493,swing,shared_1m_account,3100,34.95,34.251000000000005,151.30379250000004,0.0,signal,2.772611980572033
2021-01-06,2021-01-05,BUY,5388,swing,shared_1m_account,1300,81.7,79.086,146.50681500000002,0.0,signal,2.6985668789808903
2021-01-06,2021-01-05,BUY,1707,swing,shared_1m_account,500,182.5,178.85,127.430625,0.0,signal,3.1140452698781145
2021-01-06,2021-01-05,BUY,4943,swing,shared_1m_account,1100,92.8,90.454,141.786645,0.0,signal,1.7372727272727282
2021-01-07,2021-01-06,SELL,5284,swing,shared_1m_account,3000,35.15,34.446999999999996,147.260925,310.02299999999997,two_closes_below_ma5,
2021-01-08,2021-01-07,SELL,1707,swing,shared_1m_account,500,180.5,176.89,126.034125,265.335,two_closes_below_ma5,
2021-01-08,2021-01-07,SELL,4943,swing,shared_1m_account,1100,88.5,86.73,135.949275,286.209,two_closes_below_ma5,
2021-01-08,2021-01-07,BUY,3308,swing,shared_1m_account,28100,7.19,7.056,282.53988000000004,0.0,signal,4.467707893625995
2021-01-11,2021-01-08,BUY,6655,swing,shared_1m_account,1800,48.0,48.118,123.42267000000001,0.0,signal,5.2915689149560174
2021-01-12,2021-01-11,SELL,5388,swing,shared_1m_account,1300,78.6,77.02799999999999,142.69437,300.4092,two_closes_below_ma5,
2021-01-13,2021-01-12,SELL,3308,swing,shared_1m_account,28100,6.87,6.7326,269.59013550000003,567.55818,two_closes_below_ma5,
2021-01-13,2021-01-12,SELL,6655,swing,shared_1m_account,1800,48.95,47.971000000000004,123.04561500000001,259.0434,two_closes_below_ma5,
2021-01-13,2021-01-12,BUY,1760,swing,shared_1m_account,1800,82.0,80.164,205.62066000000002,0.0,signal,6.0669021190715995
2021-01-14,2021-01-13,SELL,2493,swing,shared_1m_account,3100,35.15,34.446999999999996,152.16962249999997,320.35709999999995,two_closes_below_ma5,
2021-01-15,2021-01-14,SELL,1760,swing,shared_1m_account,1800,79.1,77.51799999999999,198.83366999999996,418.59719999999993,two_closes_below_ma5,
2021-01-15,2021-01-14,BUY,2313,swing,shared_1m_account,2500,46.85,45.766000000000005,163.04137500000002,0.0,signal,1.7555044112006106
2021-01-18,2021-01-15,BUY,3311,swing,shared_1m_account,3400,35.3,34.055,164.996475,0.0,signal,2.332001826067107
